PRODUCT_NUM,DEPARTMENT,COMMODITY,BRAND_TY,NATURAL_ORGANIC_FLAG
00972043,FOOD                      ,DAIRY                     ,NATIONAL,N
00972072,FOOD                      ,DAIRY                     ,NATIONAL,N
00972183,FOOD                      ,DAIRY                     ,NATIONAL,N
00986031,FOOD                      ,DAIRY                     ,NATIONAL,N
00995193,FOOD                      ,DAIRY                     ,NATIONAL,N
01096327,FOOD                      ,DAIRY                     ,NATIONAL,N
01117446,FOOD                      ,DAIRY                     ,NATIONAL,N
01350887,FOOD                      ,DAIRY                     ,NATIONAL,N
01351185,FOOD                      ,DAIRY                     ,NATIONAL,N
01351311,FOOD                      ,DAIRY                     ,NATIONAL,N
01438040,FOOD                      ,DAIRY                     ,NATIONAL,N
02680174,FOOD                      ,DAIRY                     ,NATIONAL,N
03673722,FOOD                      ,DAIRY                     ,NATIONAL,N
03718579,FOOD                      ,DAIRY                     ,NATIONAL,N
03718580,FOOD                      ,DAIRY                     ,NATIONAL,N
03718582,FOOD                      ,DAIRY                     ,NATIONAL,N
04388219,FOOD                      ,DAIRY                     ,NATIONAL,N
04489719,FOOD                      ,DAIRY                     ,NATIONAL,N
04603996,FOOD                      ,DAIRY                     ,NATIONAL,N
04644732,FOOD                      ,DAIRY                     ,NATIONAL,N
04945605,FOOD                      ,DAIRY                     ,NATIONAL,N
05285287,FOOD                      ,DAIRY                     ,NATIONAL,N
05330313,FOOD                      ,DAIRY                     ,NATIONAL,N
05585411,FOOD                      ,DAIRY                     ,NATIONAL,N
05650391,FOOD                      ,DAIRY                     ,NATIONAL,N
05895603,FOOD                      ,DAIRY                     ,NATIONAL,N
05901917,FOOD                      ,DAIRY                     ,NATIONAL,N
05902017,FOOD                      ,DAIRY                     ,NATIONAL,N
05902053,FOOD                      ,DAIRY                     ,NATIONAL,N
05903527,FOOD                      ,DAIRY                     ,NATIONAL,N
05907603,FOOD                      ,DAIRY                     ,NATIONAL,N
06224817,FOOD                      ,DAIRY                     ,NATIONAL,N
06229238,FOOD                      ,DAIRY                     ,NATIONAL,N
06287197,FOOD                      ,DAIRY                     ,NATIONAL,N
06472562,FOOD                      ,DAIRY                     ,NATIONAL,N
06763817,FOOD                      ,DAIRY                     ,NATIONAL,N
06764827,FOOD                      ,DAIRY                     ,NATIONAL,N
06804940,FOOD                      ,DAIRY                     ,NATIONAL,N
06843616,FOOD                      ,DAIRY                     ,NATIONAL,N
06934194,FOOD                      ,DAIRY                     ,NATIONAL,N
06990247,FOOD                      ,DAIRY                     ,NATIONAL,N
06991622,FOOD                      ,DAIRY                     ,NATIONAL,N
06993000,FOOD                      ,DAIRY                     ,NATIONAL,N
06995300,FOOD                      ,DAIRY                     ,NATIONAL,N
07020651,FOOD                      ,DAIRY                     ,NATIONAL,N
07023396,FOOD                      ,DAIRY                     ,NATIONAL,N
00085232,FOOD                      ,DAIRY                     ,PRIVATE ,Y
