product_num,department,commodity,brand_ty,natural_organic_flag
00085468                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00276828                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00277128                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00277580                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00366273                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00366275                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00380488                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00380555                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00433446                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00433449                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00468189                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00548897                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00650808                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00660553                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00726540                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00726545                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00726547                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00766370                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00894244                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00954337                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00954357                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00970187                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00970215                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00972043                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00972057                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00986031                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
01088517                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
01096327                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
01117446                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
01417626                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
02680174                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
02680177                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
03024280                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
03167942                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
03673722                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
03673724                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
03718580                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
03718582                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
04483495                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
04603996                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
04625290                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
04644732                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
04766134                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
04772847                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
04945605                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
05194192                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
05222344                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
05650391                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
05901917                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
05902017                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
05902053                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
05903527                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
06322033                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
06327566                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
06327620                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
06459561                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
06664381                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
06670680                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
06800831                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
06843698                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
06990715                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
07019861                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
07207398                        ,FOOD                      ,DAIRY                     ,NATIONAL,N
00099858                        ,FOOD                      ,DAIRY                     ,PRIVATE ,Y
00100927                        ,FOOD                      ,DAIRY                     ,PRIVATE ,Y
02505283                        ,FOOD                      ,DAIRY                     ,PRIVATE ,Y
03670188                        ,FOOD                      ,DAIRY                     ,PRIVATE ,Y
03670194                        ,FOOD                      ,DAIRY                     ,PRIVATE ,Y
04718699                        ,FOOD                      ,DAIRY                     ,PRIVATE ,Y
